well_ID,Cell_line,Treatment,,,,,,,,,,
G9,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
H9,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
I9,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
J9,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
K9,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
L9,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
M9,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
N9,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
O9,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
P9,empty,empty,,,,,,,,,,
A10,empty,empty,,,,,,,,,,
B10,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
C10,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
D10,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
E10,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
F10,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
G10,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
H10,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
I10,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
J10,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
K10,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
L10,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
M10,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
N10,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
O10,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
P10,empty,empty,,,,,,,,,,
A11,empty,empty,,,,,,,,,,
B11,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
C11,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
D11,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
E11,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
F11,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
G11,HEK293T_Dvl2_mEos_APC_trunc,medium,,,,,,,,,,
H11,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
I11,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
J11,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
K11,HEK293T_Dvl2_mEos_APC_trunc,DMSO,,,,,,,,,,
L11,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
M11,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
N11,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
O11,HEK293T_Dvl2_mEos_APC_trunc,PF670462,,,,,,,,,,
P11,empty,empty,,,,,,,,,,
A12,empty,empty,,,,,,,,,,
B12,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
C12,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
D12,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
E12,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
F12,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
G12,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
H12,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
I12,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
J12,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
K12,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
L12,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
M12,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
N12,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
O12,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
P12,empty,empty,,,,,,,,,,
A13,empty,empty,,,,,,,,,,
B13,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
C13,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
D13,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
E13,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
F13,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
G13,HEK293T_Dvl2_mEos_APC_KO_IV,medium,,,,,,,,,,
H13,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
I13,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
